tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
1,36,True,"","","",1,"0;1","0"
1,37,True,"","","",25,"0;25","0"
1,38,False,"K Potassium",0.34,"39;40",2,"5;1;0;1","2;0;5;2"
1,39,True,"","","",1,"0;1","0"
1,40,True,"","","",1,"5;1","2;0;5;2"
1,41,False,"Si Silicon",72.75,"42;43",3,"1;2;0;1","1;0;1;1"
1,42,True,"","","",1,"0;1","0"
1,43,True,"","","",2,"1;2","1;0;1;1"
1,44,True,"","","",1,"3;1","0"
1,45,False,"Refractive Index",1.52,"46;47",3,"0;2;1;1","0"
1,46,True,"","","",1,"1;1","0"
1,47,True,"","","",2,"0;2","0"
1,48,False,"Refractive Index",1.52,"49;52",83,"5;8;0;14;1;61","14;3;1;1;5;1;1;5;1;0;1;0;1;8;5;1;5;1;1"
1,49,False,"K Potassium",0.29,"50;51",33,"1;31;5;2","2;0;1;1;5;1;1"
1,50,True,"","","",2,"5;2","0"
1,51,True,"","","",31,"1;31","2;0;1;1;5;1;1"
1,52,False,"Refractive Index",1.52,"53;60",50,"5;6;0;14;1;30","12;3;1;1;5;1;1;5;1;0;1;0;1;7;5;1"
1,53,False,"Si Silicon",72.69,"54;59",21,"1;6;5;2;0;13","8;0;1;5;5;1;3;5;1;1;0;1"
1,54,False,"Al Aluminum",1.44,"55;56",15,"5;2;0;13","3;0;5;1;3;5;1;1;0;1"
1,55,True,"","","",12,"0;12","1;1;0;1"
1,56,False,"Na Sodium",13.13,"57;58",3,"5;2;0;1","2;0;5;1;3;5;1"
1,57,True,"","","",1,"0;1","0"
1,58,True,"","","",2,"5;2","2;0;5;1;3;5;1"
1,59,True,"","","",6,"1;6","5;0;1;5"
1,60,False,"K Potassium",0.16,"61;66",29,"5;4;0;1;1;24","4;3;1;1;1;5;1;0;1;2"
1,61,False,"Na Sodium",13.92,"62;63",15,"1;13;5;2","3;1;5;1;0;1;2"
1,62,True,"","","",8,"1;8","2;0;1;2"
1,63,False,"Refractive Index",1.52,"64;65",7,"1;5;5;2","1;1;5;1"
1,64,True,"","","",2,"5;2","1;1;5;1"
1,65,True,"","","",5,"1;5","0"
1,66,False,"Fe Iron",0.20,"67;72",14,"5;2;0;1;1;11","1;3;1;1"
1,67,False,"Mg Magnesium",3.67,"68;69",12,"0;1;1;11","1;3;1;1"
1,68,True,"","","",8,"1;8","1;3;1;1"
1,69,False,"K Potassium",0.36,"70;71",4,"0;1;1;3","0"
1,70,True,"","","",3,"1;3","0"
1,71,True,"","","",1,"0;1","0"
1,72,True,"","","",2,"5;2","0"
2,0,False,"Ba Barium",0.34,"1;64",178,"0;64;1;63;3;26;2;12;4;6;5;7","36;3;1;2;2;1;2;0;1;0;2;3;1;7;5;2;5;0;5;1;5;1;0;5;3;2;4;0;2;3;1"
2,1,False,"Al Aluminum",1.44,"2;43",152,"4;6;5;7;3;3;0;63;2;11;1;62","33;2;0;1;0;2;3;1;7;5;2;5;0;5;1;5;1;0;5;3;2;4;0;2;3;1"
2,2,False,"Refractive Index",1.52,"3;16",94,"0;26;5;5;4;1;1;59;3;2;2;1","24;5;0;3;1;5;0;1;6;2;1;5;2;1;3;2;0;3;4;0;1;3;1"
2,3,False,"Mg Magnesium",3.41,"4;9",41,"1;33;0;3;5;4;3;1","9;5;1;3;0;2;0;1;1;5;2;4;3;1"
2,4,False,"Al Aluminum",1.28,"5;8",7,"1;3;3;1;5;3","3;4;3;1;0;5;2"
2,5,False,"Si Silicon",74.10,"6;7",4,"3;1;5;3","3;4;3;1;0;5;2"
2,6,True,"","","",3,"5;3","2;0;5;2"
2,7,True,"","","",1,"3;1","1;4;3;1"
2,8,True,"","","",3,"1;3","0"
2,9,False,"Refractive Index",1.52,"10;15",34,"1;30;0;3;5;1","6;5;1;3;0;2;0;1;1"
2,10,False,"Mg Magnesium",3.50,"11;12",7,"0;3;5;1;1;3","3;5;0;2;0;1;1"
2,11,True,"","","",3,"1;3","1;0;1;1"
2,12,False,"Refractive Index",1.52,"13;14",4,"0;3;5;1","2;5;0;2"
2,13,True,"","","",1,"5;1","0"
2,14,True,"","","",3,"0;3","2;5;0;2"
2,15,True,"","","",27,"1;27","3;5;1;3"
2,16,False,"Fe Iron",0.20,"17;38",53,"0;23;5;1;4;1;1;26;3;1;2;1","15;5;0;1;1;2;0;1;5;2;1;1;3;2;0;3;4;0;1"
2,17,False,"Si Silicon",72.33,"18;23",46,"4;1;1;26;3;1;0;17;2;1","14;0;1;5;2;1;1;3;2;0;3;4;0;1;5;1;2"
2,18,False,"Ca Calcium",10.75,"19;20",27,"0;4;2;1;1;22","5;0;2;1;1;2;5;1;2"
2,19,True,"","","",22,"1;22","4;0;1;2;5;1;2"
2,20,False,"Refractive Index",1.52,"21;22",5,"0;4;2;1","1;0;2;1"
2,21,True,"","","",1,"2;1","1;0;2;1"
2,22,True,"","","",4,"0;4","0"
2,23,False,"Na Sodium",14.50,"24;37",19,"4;1;1;4;3;1;0;13","9;0;1;3;1;3;2;0;3;4;0;1"
2,24,False,"K Potassium",0.59,"25;30",18,"1;4;3;1;0;13","9;0;1;3;1;3;2;0;3;4;0;1"
2,25,False,"Si Silicon",72.80,"26;27",14,"0;12;1;2","5;0;1;1;1;0;3;4;0;1"
2,26,True,"","","",8,"0;8","4;1;0;3;4;0;1"
2,27,False,"Si Silicon",73.03,"28;29",6,"0;4;1;2","1;0;1;1"
2,28,True,"","","",2,"1;2","1;0;1;1"
2,29,True,"","","",4,"0;4","0"
2,30,False,"Mg Magnesium",3.14,"31;32",4,"1;2;3;1;0;1","4;0;1;2;1;3;2"
2,31,True,"","","",1,"0;1","0"
2,32,False,"Ca Calcium",8.63,"33;34",3,"1;2;3;1","4;0;1;2;1;3;2"
2,33,True,"","","",1,"1;1","1;0;1;1"
2,34,False,"Ca Calcium",8.99,"35;36",2,"1;1;3;1","3;0;1;1;1;3;2"
2,35,True,"","","",1,"3;1","2;1;3;2"
2,36,True,"","","",1,"1;1","1;0;1;1"
2,37,True,"","","",1,"4;1","0"
2,38,False,"Si Silicon",71.66,"39;42",7,"0;6;5;1","1;5;0;1"
2,39,False,"Si Silicon",70.76,"40;41",2,"5;1;0;1","0"
2,40,True,"","","",1,"0;1","0"
2,41,True,"","","",1,"5;1","0"
2,42,True,"","","",5,"0;5","1;5;0;1"
2,43,False,"Ca Calcium",8.80,"44;55",58,"4;5;5;2;3;1;0;37;2;10;1;3","9;2;0;1;0;2;2;1;1;5;0;2;1;0;2;4;0;1"
2,44,False,"Al Aluminum",2.44,"45;54",40,"2;2;1;3;0;35","6;5;0;2;1;0;2;0;1;1;4;0;1"
2,45,False,"Refractive Index",1.52,"46;51",38,"1;3;0;35","6;5;0;2;1;0;2;0;1;1;4;0;1"
