tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
97,4,False,"body_mass_g",3800.00,"5;6",29,"2;15;1;14","12;0;2;9;1;1;1;2;2"
97,5,True,"","","",14,"1;14","1;0;1;1"
97,6,True,"","","",15,"2;15","11;0;2;9;1;2;2"
97,7,False,"bill_depth_mm",15.45,"8;9",53,"1;50;2;3","0"
97,8,True,"","","",3,"2;3","0"
97,9,True,"","","",50,"1;50","0"
97,10,False,"bill_length_mm",43.10,"11;14",111,"1;1;2;105;0;5","2;0;1;1;2;1"
97,11,False,"sex",0.50,"12;13",10,"0;5;2;5","0"
97,12,True,"","","",5,"2;5","0"
97,13,True,"","","",5,"0;5","0"
97,14,False,"bill_depth_mm",19.00,"15;16",101,"1;1;2;100","2;0;1;1;2;1"
97,15,True,"","","",100,"2;100","1;0;2;1"
97,16,True,"","","",1,"1;1","1;0;1;1"
98,0,False,"bill_depth_mm",16.35,"1;4",323,"1;66;0;143;2;114","21;0;1;9;2;1;10;1;0;2"
98,1,False,"bill_length_mm",39.70,"2;3",120,"2;114;0;6","0"
98,2,True,"","","",6,"0;6","0"
98,3,True,"","","",114,"2;114","0"
98,4,False,"flipper_length_mm",196.50,"5;10",203,"1;66;0;137","21;0;1;9;2;1;10;1;0;2"
98,5,False,"bill_length_mm",42.40,"6;7",152,"1;36;0;116","8;0;1;7;1;0;1"
98,6,True,"","","",116,"0;116","1;1;0;1"
98,7,False,"bill_length_mm",46.20,"8;9",36,"1;36","7;0;1;7"
98,8,True,"","","",14,"1;14","7;0;1;7"
98,9,True,"","","",22,"1;22","0"
98,10,False,"bill_length_mm",44.27,"11;14",51,"1;30;0;21","13;0;1;2;2;1;10;1;0;1"
98,11,False,"bill_length_mm",43.30,"12;13",21,"0;21","1;1;0;1"
98,12,True,"","","",20,"0;20","0"
98,13,True,"","","",1,"0;1","1;1;0;1"
98,14,False,"bill_depth_mm",17.75,"15;16",30,"1;30","12;0;1;2;2;1;10"
98,15,True,"","","",3,"1;3","11;0;1;1;2;1;10"
98,16,True,"","","",27,"1;27","1;0;1;1"
99,0,False,"island",0.50,"1;6",324,"1;62;0;140;2;122","20;0;1;5;2;7;1;0;6;2;0;2"
99,1,False,"body_mass_g",4150.00,"2;5",159,"2;122;0;37","9;0;2;7;2;0;2"
99,2,False,"sex",1.50,"3;4",39,"2;2;0;37","2;2;0;2"
99,3,True,"","","",37,"0;37","2;2;0;2"
99,4,True,"","","",2,"2;2","0"
99,5,True,"","","",120,"2;120","7;0;2;7"
99,6,False,"flipper_length_mm",196.50,"7;14",165,"1;62;0;103","11;0;1;5;1;0;6"
99,7,False,"bill_length_mm",44.30,"8;11",123,"0;91;1;32","5;1;0;5"
99,8,False,"flipper_length_mm",187.50,"9;10",90,"0;90","5;1;0;5"
99,9,True,"","","",35,"0;35","5;1;0;5"
99,10,True,"","","",55,"0;55","0"
99,11,False,"bill_depth_mm",20.45,"12;13",33,"0;1;1;32","0"
99,12,True,"","","",32,"1;32","0"
99,13,True,"","","",1,"0;1","0"
99,14,False,"body_mass_g",4225.00,"15;18",42,"1;30;0;12","6;0;1;5;1;0;1"
99,15,False,"island",1.50,"16;17",33,"0;8;1;25","3;0;1;3"
99,16,True,"","","",25,"1;25","3;0;1;3"
99,17,True,"","","",8,"0;8","0"
99,18,False,"bill_depth_mm",19.40,"19;20",9,"1;5;0;4","3;0;1;2;1;0;1"
99,19,True,"","","",4,"0;4","1;1;0;1"
99,20,True,"","","",5,"1;5","2;0;1;2"
